,city,cluster 1 probability,hpa_3yr_pred,mhv,md_retax,hpa_3yr_pred_scaled,mhv_scaled,md_retax_scaled,state,region,own_pct,grrent_yield,rent,percap_inc,monthly income to rent,inc. to rent scaled,home ownership scaled,num. neighborhoods,pop_est_5mile,pop_est_25mile,pop_ch_5mile,pop_ch_25mile,density_total,pop_est_5mile_scaled,pop_est_25mile_scaled,pop_ch_5mile_scaled,pop_ch_25mile_scaled,density_total_scaled,cluster 2 probability,cluster 3 probability,cluster 4 probability,cluster 5 probability
0,"Abbeville, LA",0.3833333333333333,0.0269195,158367.5,420.0,-0.8500569281297903,-0.2672691341834671,-1.074743750460087,LA,South,76.35,11.33,969.56,24993.67,2.2,-0.34,0.86,12,12144.0,307087.0,-9.733927916666667,-0.6922811666666666,9.594622083333334,-0.1656295707307749,0.3634229044076792,-1.0409816374843517,-0.446072038056269,-0.160801735968095,0.533,0.011,0.033,0.011
1,"Aberdeen, SD",0.3333333333333333,0.0622453333333333,250045.0,3284.5,-0.6208039940321188,0.4363112003445208,0.6356811139853041,SD,Midwest,55.12,8.98,951.17,30481.17,2.65,0.36,-0.84,6,18681.0,34835.5,-5.564320333333334,0.6589686666666666,54.46355166666667,0.2029805335541125,-0.6041932319937776,-0.5843550653249839,-0.2007614100322187,1.7782501996582176,0.1,0.4,0.1,0.067
2,"Aberdeen, WA",0.375,0.300462625,212413.0,2571.0,0.9251471673196036,0.1475038577691098,0.2096423146200443,WA,West,57.24,9.4,1107.12,25995.25,2.05,-0.21,-0.67,8,12134.0,53951.5,6.7625530000000005,5.3767376250000005,34.46673075,-0.1661934534052202,-0.5362525592575383,0.7655988099849972,0.6557188924934699,0.9140692471614532,0.025,0.35,0.075,0.175
3,"Aberdeen--Bel Air South--Bel Air North, MD",0.5882352941176471,0.1182584999999999,284188.5,3347.5,-0.2572971324878702,0.6983459978897893,0.6732991158914168,MD,South,76.7,9.3,1973.94,40128.78,1.78,1.58,0.88,34,44222.0,896427.0,0.8583800588235294,2.2568698529411764,26.338989794117648,1.6431932723548333,2.4580115249546166,0.1190146416469726,0.0893271685975473,0.5628214688184848,0.111,0.232,0.011,0.026
4,"Ada, OK",0.0333333333333333,-0.0333915,164227.0,1146.5,-1.2414553016061785,-0.2223003144603426,-0.640942506257058,OK,South,57.4,10.75,942.33,24763.0,2.17,-0.37,-0.66,6,18141.5,46917.5,-5.468675833333333,-2.0624231666666666,51.3217175,0.172559063267789,-0.561252281585782,-0.5738807414688328,-0.6948124161941842,1.6424729551626225,0.267,0.233,0.233,0.233
5,"Adrian, MI",0.6461538461538462,0.2506116923076923,134096.0,2631.0,0.6016311590947335,-0.4535411211976861,0.2454689831020564,MI,Midwest,69.84,12.71,1162.83,28167.42,2.01,0.06,0.33,13,13510.0,143929.0,-0.704354076923077,1.6488119230769231,11.410398615384617,-0.088603197401548,-0.2164611865265815,-0.0521251880230268,-0.0210617979505858,-0.082331288113981,0.04,0.173,0.0,0.093
6,"Akron, OH",0.6356164383561643,0.203048,194203.0,3346.5,0.2929585818573775,0.0077509424763208,0.6727020047500499,OH,Midwest,70.17,10.1,1222.53,33754.1,2.37,0.77,0.36,73,43180.0,926442.0,-0.6134131506849315,0.2215997123287671,23.39308806849315,1.5844366976776338,2.5646886170334104,-0.0421659670202856,-0.2801629020584421,0.4355116244276593,0.122,0.124,0.006,0.085
7,"Alachua, FL",0.4499999999999999,-0.0294645,275914.0,2772.0,-1.2159703749320765,0.6348432248205866,0.3296616540347847,FL,South,81.73,7.83,1203.0,33037.75,2.29,0.68,1.29,8,8027.0,323784.5,-5.277969499999999,7.64882375,1.1594285,-0.3977800677999017,0.4227679233977061,-0.5529959033782742,1.0682013664957344,-0.5253363615327024,0.5,0.05,0.0,0.0
8,"Alamogordo, NM",0.06,0.1209244999999999,161275.5,1125.5,-0.2399956773024471,-0.2449516450197422,-0.6534818402257622,NM,West,64.31,13.73,1340.22,24958.89,1.56,-0.34,-0.11,10,28191.0,47879.0,-5.649009,-2.0032821,36.8107306,0.7392329569515854,-0.5578349894307342,-0.593629582120119,-0.6840757397868146,1.0153673500682494,0.483,0.283,0.067,0.083
9,"Albany, GA",0.0857142857142857,-0.006987,124063.0,1737.5,-1.0700988599544516,-0.5305395286184742,-0.2880498217092394,GA,South,48.64,13.75,1120.78,22765.74,1.67,-0.62,-1.36,28,41835.5,142380.0,-0.1894915714285716,-1.4109303928571428,53.60385960714286,1.5086226720984643,-0.2219665277103247,0.0042589911397979,-0.576538135928708,1.7410978189898492,0.207,0.12,0.307,0.273
